ELEMEN INFORMASI YANG DISERAHKAN UNTUK DIGITAL TECHNICAL REPORT,
BA_LONG_NAME,The legal name of a business associate. (which has been registered with a corporate registry).
,Nama Badan Hukum seperti yang tercatat di badan resmi pencatatan badan hukum.
,Contoh: PT PERTAMINA EP
BA_TYPE,"The type of business associate. Usual reference values include COMPANY, PERSON, REGULATORY, SOCIETY, ASSOCIATION. Use the BA CATEGORY to further categorize this information."
,"Type dari entitas bisnis: BADAN USAHA, BENTUK USAHA TETAP, UNIVERSITAS, UNIT PELAKSANA."
,Contoh: BADAN USAHA
AREA_ID,"Identifier for any named area such as a country, province, project area, area of interest, offshore area, district etc."
,Nama wilayah kerja sesuai dengan kontrak kerjasama antara KKKS dengan SKK Migas. 
,Contoh: PERTAMINA EP
AREA_TYPE,"Unique identifier for the type of area, such as country, state, AOI etc."
,Identifikasi unik untuk wilayah kerja: WILAYAH KERJA.
,Contoh: WILAYAH KERJA
TITLE,The title of the item 
,Judul Laporan Teknis.
,Contoh: ABNORMAL PRESSURE STUDY OFFSHORE BUNYU EAST KALIMANTAN
CREATOR_NAME,"The full name of a company or person as it appears on documentation, to be used in the case where the user does not wish to include the contact in the list of valid business associates (BUSINESS ASSOCIATE). "
,Nama Badan Hukum seperti yang tercatat di badan resmi pencatatan badan hukum atau individu yang tercantum di Laporan Teknis.
,Contoh: J. R. REYNOLDS
CREATE_DATE,The date on which the physical rendering of the item was created
,Tanggal pembuatan Laporan Teknis.
,Contoh: 01/11/1989
PAGE_COUNT,The total number of pages in the physical item
,Jumlah halaman pada Laporan Teknis.
,Contoh: 63
MEDIA_TYPE,"Describes the type of media used for the physical rendering of an item. Allowable types include 8 mm tape, 9 inch tape, backup unet, cassette, diskette, epoch, film, linen, microfilm, mylar, negative, original, paper, photo print, print, reproducable, sepia, xerox, worm optical disk, unknown, mixed."
,"Type Media: CD-R, DVD-R, TAPE MAGNETIK LTO, EXTERNAL HARDISK."
,Contoh: CD-R
DIGITAL_FORMAT,"The digital format, or predefined order or arrangement of digits. For trace data, may be SEG Y or SEG B, for survey data may be UKOOA or SEG P1 etc. For other files, may be XLS, DOC, PDF etc."
,Format data digital: PDF (ISO 32000-2).
,Contoh: PDF (ISO 32000-2)
DOCUMENT_TYPE,The type of document. ie: monthly periodical or technical publication or specificiation.
,"Jenis dari dokumen, misal: LAPORAN SUMUR, LAPORAN SEISMIK, LAPORAN TEKNIK, LAPORAN KEUANGAN, LAPORAN STUDY (DAN LAIN-LAIN)."
,Contoh: LAPORAN TEKNIK
ITEM_CATEGORY,"The category of information item, such as acquisition support products, trace products etc."
,Materi Laporan:  
,1. GEOLOGI
,2. GEOMATIKA
,3. GEOFISIKA 
,4. JURNAL
,5. LIBRARY
,6. RESERVOAR
,7. GEOTHERMAL
,8. REPORT/STUDY WELL
,9. (DAN LAIN-LAIN).
,Contoh: GEOLOGI
ITEM_SUB_CATEGORY,The sub category of information or physical item
,Sub category dari ITEM_CATEGORY: 
,1.1.    STRATIGRAFI 
,1.2.   LITHOLOGY
,1.3.   SAMPLE ANALYSIS
,1.4.   PALAENTOLOGY
,1.5.  STUDY GGR 
,2.1.  SPATIAL LOCATIONS
,3.1.  GEOFISIKA
,3.2.  NON SEISMIK
,3.3.  PASSIVE SEISMIK
,5.1.  SUPPORT MODUL
,5.2.  CONTRACT
,5.3.  PARTNERSHIP
,5.4.  LAND RIGHT
,5.5.  APPLICATIONS & APPROVALS
,5.6.  OBLIGATIONS
,5.7.  HSE
,6.   (DAN LAIN-LAIN).
,Contoh: STUDY GGR
BA_LONG_NAME,The legal name of a business associate. (That which has been registered with a corporate registry).
,"Nama Badan Hukum yang menyimpan data, seperti yang tercatat di badan resmi pencatatan badan hukum."
