ELEMEN INFORMASI YANG DISERAHKAN UNTUK NON-SEISMIC AND SEISMIC NON-CONVENTIONAL DATA SUMMARY,
BA_LONG_NAME,The legal name of a business associate. (That which has been registered with a corporate registry).
,Nama Badan Hukum seperti yang tercatat di badan resmi pencatatan badan hukum.
,Contoh: PT PERTAMINA EP
BA_TYPE,"The type of business associate. Usual reference values include COMPANY, PERSON, REGULATORY, SOCIETY, ASSOCIATION. Use the BA CATEGORY to further categorize this information."
,"Type dari entitas bisnis: BADAN USAHA, BENTUK USAHA TETAP, UNIVERSITAS, UNIT PELAKSANA."
,Contoh: BADAN USAHA
AREA_ID,"Identifier for any named area such as a country, province, project area, area of interest, offshore area, district etc."
,"Nama wilayah kerja sesuai dengan kontrak kerjasama antara KKKS dengan SKK Migas, untuk SURVEI UMUM adalah nama Project sesuai dengan kontrak antara Kementerian ESDM dengan Badan Usaha Pelaksana SURVEI UMUM. "
,Contoh: PERTAMINA EP
AREA_TYPE,"Unique identifier for the type of area, such as country, state, AOI etc."
,Identifikasi unik untuk wilayah kerja: WILAYAH KERJA (Untuk KKKS) dan SURVEI UMUM ( untuk SURVEI UMUM).
,Contoh: WILAYAH KERJA
ACQTN_SURVEY_NAME ,Name by which the acquisition set is known.
,"Nama survei yang diberikan sesuai dengan dokumen laporan akuisisi data non seismik/seismik konvensional, dengan format: YYYY (Tahun akuisisi/Vintage)-XXXX… (Nama prospect/project)-ZZZZZZZZ (Nomor AFE, khusus untuk selain SURVEI UMUM)."
,Contoh: 2015-BUNYU LFPS-ZZZZZZZZ
SEIS_SPECTRUM_TYPE,"Indicates additional types of measurements taken. May be magnetic, electromagnetic, gravity, shearwave..."
,"Metode survei: GRAVITY, MAGNETIC, MAGNETOTELLURIC, LOW FREQUENCY PASSIVE  SEISMIC, MICROEARTHQUAKE (DAN LAIN-LAIN)."
,Contoh: LOW FREQUENCY PASSIVE  SEISMIC
SEIS_DIMENSION,"The dimension or geometry of the seismic data. May be 1D, 2D, 3D, swath, 3D water bottom."
,"Dimensi atau geometri dari survei Non-Seismik Dan Seismik Non Konvensional 1D, 2D, 3D, SWATH, 3D WATER BOTTOM."
,Contoh: 3D
START_DATE ,Date on which the acquisition survey commenced.
,Tanggal dimulainya survei Non-Seismik Dan Seismik Non Konvensional sesuai dokumen laporan survei.
,Contoh: 04/08/2015
SHOT_BY,"Unique identifier for a business associate, such as a person, company, regulatory agency, government or consortium."
,Nama Badan Hukum yang melakukan survei seperti yang tercatat di badan resmi pencatatan badan hukum.
,Contoh: UNIVERSITAS GADJAH MADA
CREW_LONG_NAME,Full name for the crew.
,Nama kelompok pelaksana survei.
,Contoh: PS-MT06
ACQTN_DIRECTION,"A set of valid compass directions, used for referencing positional information. For example, N, S, NE etc."
,"Arah lintasan pengukuran: N, S, W, E, NE, NW, SW, SE"
,Contoh: NE
ENVIRONMENT,"In which seismic was collected (marine, land, transition)"
,"Lingkungan pengambilan data Non-Seismik Dan Seismik Non Konvensional: MARINE, LAND, TRANSITION."
,Contoh: LAND 
REMARK,Narrative remarks relating to this row of data.
,Keterangan informasi yang ingin ditambahkan terkait data.
,Contoh: -
SOURCE,"The individual, company, state, or government agency designated as the source of information for this row."
,Nama Badan Hukum seperti yang tercatat di badan resmi pencatatan badan hukum yang menjadi sumber dari data.
,Contoh: PT PERTAMINA EP
QC_STATUS,"A valid type of quality control or validation status, such as batch loaded, visual inspection, verified by data analyst, verified by business analyst etc"
,Status Validasi: TERVERIFIKASI OLEH SKK MIGAS atau TERVERIFIKASI OLEH DITJEN MIGAS.
,Contoh: TERVERIFIKASI OLEH SKK MIGAS
CHECKED_BY_BA_ID,"Unique identifier for the business associate who checked the work done by the data analyst to verify that the quality control has been done correctly. In some cases, this will be a business expert who is reviewing the final contents of a data structure."
,NIK dari orang yang melakukan verifikasi.
,Contoh:31XXXXXXXXXXXXXX
