ELEMEN INFORMASI YANG DISERAHKAN UNTUK PRINT MAPS AND TECHNICAL DRAWING,
BA_LONG_NAME,The legal name of a business associate. (which has been registered with a corporate registry).
,Nama Badan Hukum seperti yang tercatat di badan resmi pencatatan badan hukum.
,Contoh: PT PERTAMINA EP
BA_TYPE,"The type of business associate. Usual reference values include COMPANY, PERSON, REGULATORY, SOCIETY, ASSOCIATION. Use the BA CATEGORY to further categorize this information."
,"Type dari entitas bisnis: BADAN USAHA, BENTUK USAHA TETAP, UNIVERSITAS, UNIT PELAKSANA."
,Contoh: BADAN USAHA
AREA_ID,"Identifier for any named area such as a country, province, project area, area of interest, offshore area, district etc."
,Nama wilayah kerja sesuai dengan kontrak kerjasama antara KKKS dengan SKK Migas. 
,Contoh: PERTAMINA EP
AREA_TYPE,"Unique identifier for the type of area, such as country, state, AOI etc."
,Identifikasi unik untuk wilayah kerja: WILAYAH KERJA.
,Contoh: WILAYAH KERJA
TITLE,The title of the item 
,Judul dari Peta Dan Gambar Teknik.
,Contoh: BASE MAP BUNYU ISLAND
CREATOR_NAME,"The full name of a company or person as it appears on documentation, to be used in the case where the user does not wish to include the contact in the list of valid business associates (BUSINESS ASSOCIATE). "
,Nama Badan Hukum seperti yang tercatat di badan resmi pencatatan badan hukum atau individu yang tercantum di Peta Dan Gambar Teknik.
,Contoh: PT PERTAMINA EP
CREATE_DATE,The date on which the physical rendering of the item was created
,Tanggal pembuatan Peta Dan Gambar Teknik.
,Contoh: 01/12/1979
MAP_SCALE,"Scale of the map, such as 1:25000 or 1:50000"
,"Skala dari gambar: 1:25000,1:50000, 1:20000  "
,Contoh: 1:20000
PROJECTION_TYPE,"A reference table identifying valid classifications of projections used by individual map projections. For example, Mercator, Lambert, Polyconic,"
,Nama dari system proyeksi.
,Contoh: UTM
GEODETIC_DATUM_NAME,Common name given to the geodetic datum
,Nama dari datum: WGS-84.
,Contoh: WGS-84
MEDIA_TYPE,"Describes the type of media used for the physical rendering of an item. Allowable types include 8 mm tape, 9 inch tape, backup unet, cassette, diskette, epoch, film, linen, microfilm, mylar, negative, original, paper, photo print, print, reproducable, sepia, xerox, worm optical disk, unknown, mixed."
,"Jenis dari media Peta Dan Gambar Teknik: KERTAS, TRANSLUCENT, FILM."
,Contoh: KERTAS
DOCUMENT_TYPE,The type of document. ie: monthly periodical or technical publication or specificiation 
,Jenis dari Peta Dan Gambar Teknik:
,1.   SUB-SURFACE
,2.   SURFACE
,3.   TECHNICAL DRAWING
,4.   (DAN LAIN-LAIN).
,Contoh: SURFACE
ITEM_CATEGORY,"The category of information item, such as acquisition support products, trace products etc."
,Materi Peta Dan Gambar Teknik: 
,1.1.  PETA MAGNETIK
,1.2.   PETA GRAVITY
,1.3.   PETA RESISTIVITY
,1.4.   PETA GEOLOGY
,1.5.   PETA TIME HORIZON
,1.6.   PETA STRUKTUR
,1.7.   ISOPACH
,1.8.   ISCHORE
,1.9.   ISOCHORN
,2.1.  PENCITRAAN MUKA BUMI
,2.2.  PETA SEISMIK
,2.3.  PETA KOORDINAT
,3.1. PETA JALUR
,3.2. PETA INSTALASI
,3.3. PETA ARSITEKTUR
,4. (DAN LAIN-LAIN).
,Contoh: PETA SEISMIK
BA_LONG_NAME,The legal name of a business associate. (That which has been registered with a corporate registry).
,"Nama Badan Hukum yang menyimpan data, seperti yang tercatat di badan resmi pencatatan badan hukum. "
,Contoh: PT PERUSAHAAN PERSEROAN (PERSERO) PT PERTAMINA
BA_TYPE,"The type of business associate. Usual reference values include COMPANY, PERSON, REGULATORY, SOCIETY, ASSOCIATION. Use the BA CATEGORY to further categorize this information."
,"Type dari entitas bisnis yang menyimpan data: BADAN USAHA, BENTUK USAHA TETAP, UNIVERSITAS, UNIT PELAKSANA."
,Contoh: BADAN USAHA
DATA_STORE_NAME,"The name given to the storage facility. May be a building name, Bay name or a directory or file name."
,Nama dari fasilitas penyimpanan data.
,Contoh: PERTAMINA UPSTREAM DATA CENTER
DATA_STORE_TYPE,"The type of data store that is referenced, such as disk, folder, tape, shelf, SAN system server or optical disk."
,"Type penyimpanan data: RACK, SHELF, BOX, ENVELOPE."
,Contoh: BOX
LOCATION_ID,A location ID already assigned to the physical item. May be a barcode or a legacy system Identifier 
,Lokasi simpan dalam storage sesuai dalam format: kode lokasi-kode jenis data-kode rack-kode shelf-kode box-kode envelope-nomor urut.
,Contoh: PM-1-18D-12-36-00-028
REMARK,Narrative remarks relating to this row of data
,Keterangan informasi yang ingin ditambahkan terkait Peta dan Gambar Cetak Teknis.
,Contoh: -
SOURCE,"The individual, company, state, or government agency designated as the source of information for this row."
,Nama Badan Hukum seperti yang tercatat di badan resmi pencatatan badan hukum yang menjadi sumber dari data.
,Contoh: PT PERTAMINA EP
QC_STATUS,"A valid type of quality control or validation status, such as batch loaded, visual inspection, verified by data analyst, verified by business analyst etc"
,Status Validasi: TERVERIFIKASI OLEH SKK MIGAS atau TERVERIFIKASI OLEH DITJEN MIGAS.
,Contoh: TERVERIFIKASI OLEH SKK MIGAS
CHECKED_BY_BA_ID,"Unique identifier for the business associate who checked the work done by the data analyst to verify that the quality control has been done correctly. In some cases, this will be a business expert who is reviewing the final contents of a data structure."
,NIK dari orang yang melakukan verifikasi.
,Contoh:31XXXXXXXXXXXXXX
