ELEMEN INFORMASI YANG DISERAHKAN UNTUK PRINT WELL REPORT,
BA_LONG_NAME,The legal name of a business associate. (That which has been registered with a corporate registry).
,Nama Badan Hukum seperti yang tercatat di badan resmi pencatatan badan hukum.
,Contoh: PT PERTAMINA EP
BA_TYPE,"The type of business associate. Usual reference values include COMPANY, PERSON, REGULATORY, SOCIETY, ASSOCIATION. Use the BA CATEGORY to further categorize this information."
,"Type dari entitas bisnis: BADAN USAHA, BENTUK USAHA TETAP, UNIVERSITAS, UNIT PELAKSANA."
,Contoh: BADAN USAHA
AREA_ID,"Identifier for any named area such as a country, province, project area, area of interest, offshore area, district etc."
,Nama wilayah kerja sesuai dengan kontrak kerjasama antara KKKS dengan SKK Migas. 
,Contoh: PERTAMINA EP
AREA_TYPE,"Unique identifier for the type of area, such as country, state, AOI etc."
,Identifikasi unik untuk wilayah kerja: WILAYAH KERJA.
,Contoh: WILAYAH KERJA
FIELD_NAME,Legal or common given name of the field
,Nama lapangan yang diberikan sesuai dokumen POD pertama yang disahkan oleh menteri ESDM yang diterbitkan oleh SKK Migas (diisi jika sudah ada POD).
,Contoh: BUNYU
WELL_NAME,Name assigned to the well. This may be the legal or registered name as it appears on permit or a given name assigned by the operator
,Nama yang ditetapkan untuk Sumur. Nama Sumur  ini adalah nama yang terdaftar secara legal.
,Contoh: BN-17
UWI,"A unique name, code or number designated as the primary key for this row"
,Kode unik formal dari Sumur yang diberikan oleh SKK Migas.
,Contoh: -
TITLE,The title of the item.
,Judul dari Laporan Sumur.
,Contoh: PVT ANALYSIS OF RESERVOIR FLUID
CREATOR_NAME,"The full name of a company or person as it appears on documentation, to be used in the case where the user does not wish to include the contact in the list of valid business associates (BUSINESS ASSOCIATE). "
,Nama Badan Hukum seperti yang tercatat di badan resmi pencatatan badan hukum atau individu yang tercantum di dokumen atau nama perseorangan.
,Contoh: LEMIGAS
CREATE_DATE,The date on which the physical rendering of the item was created.
,Tanggal pembuatan Laporan Sumur.
,Contoh: 19/11/2007
MEDIA_TYPE,"Describes the type of media used for the physical rendering of an item. Allowable types include 8 mm tape, 9 inch tape, backup unet, cassette, diskette, epoch, film, linen, microfilm, mylar, negative, original, paper, photo print, print, reproducable, sepia, xerox, worm optical disk, unknown, mixed."
,"Jenis dari media dokumen: KERTAS, TRANSLUCENT, FILM. "
,Contoh: KERTAS
DOCUMENT_TYPE,The type of document. ie: monthly periodical or technical publication or specificiation.
,"Jenis dari dokumen, misal: LAPORAN SUMUR, LAPORAN SEISMIK, LAPORAN TEKNIK, KEUANGAN (DAN LAIN-LAIN)."
,Contoh: LAPORAN SUMUR
ITEM_CATEGORY,"The category of information item, such as acquisition support products, trace products etc."
,Katagori dari laporan sumur: 
,1.   PERSIAPAN PEMBORAN 
,2.   EKSPLORASI & AKUISISI
,3.   ASPEK KEGEOLOGIAN
,4.   ANALISA FORMASI
,5.   PENGUJIAN SUMUR
,6.   PENGEBORAN
,7.   PRODUKSI
,8.   KERJA ULANG
,9.   LAPORAN AKHIR
,10.  HSSE
,11.  LAPORAN LAINYA.
,Contoh: PENGUJIAN SUMUR
ITEM_SUB_CATEGORY,The sub category of information or physical item.
,Sub Katagori dari laporan sumur:
,1.1. PERSIAPAN PONDASI LOKASI SUMUR
,1.2. PEMBEBASAN LAHAN
,1.3. PLAN OF DEVELOPMENT/POD
,1.4. PLAN OF FURTHER DEVELOPMENT/POFD
,1.5. KONTRAK JASA & PERALATAN PENUNJANG
,2.1. DATA EKSPLORASI
