ELEMEN INFORMASI YANG DISERAHKAN UNTUK PROJECT FILE STORED IN MEDIA,
BA_LONG_NAME,The legal name of a business associate. (that which has been registered with a corporate registry).
,Nama Badan Hukum Kontraktor Kontrak Kerjasama seperti yang tercatat di badan resmi pencatatan badan hukum.
,Contoh: PT PERTAMINA EP
BA_TYPE,"The type of business associate. Usual reference values include COMPANY, PERSON, REGULATORY, SOCIETY, ASSOCIATION. Use the BA CATEGORY to further categorize this information."
,"Type dari entitas bisnis: BADAN USAHA, BENTUK USAHA TETAP, UNIVERSITAS, UNIT PELAKSANA"
,Contoh: BADAN USAHA
AREA_ID,"Identifier for any named area such as a country, province, project area, area of interest, offshore area, district etc."
,Nama wilayah kerja sesuai dengan kontrak kerjasama antara KKKS dengan SKK Migas. 
,Contoh: PERTAMINA EP
AREA_TYPE,"Unique identifier for the type of area, such as country, state, AOI etc."
,Identifikasi unik untuk wilayah kerja: WILAYAH KERJA.
,Contoh: WILAYAH KERJA
FIELD_NAME,Legal or common given name of the field
,Nama lapangan yang diberikan sesuai dokumen POD pertama yang disahkan oleh menteri ESDM yang diterbitkan oleh SKK Migas (Diisi jika sudah memiliki POD).
,Contoh: BUNYU
PROJECT_NAME,The name assigned to the project
,"Nama Project (tahun dan area dilakukan studi ) dengan format: YYYY (Tahun studi) – XXXX…(Nama prospect/project)-ZZZZZZZZ (Nomor AFE Study, khusus untuk selain SURVEI UMUM) "
,Contoh: 2012-BUNYU STUDY-ZZZZZZZZZ
SW_APPLICATION_ID,Unique name or code for the perangkat lunak application.
,"Nama Perangkat lunak yang digunakan untuk melakukan interpretasi sesuai dengan yang terdaftar pada badan resmi pencatatan merek, misal: GEOFRAME, PETREL, IHS KINGDOM (DAN LAIN-LAIN)."
,Contoh: GEOFRAME
APPLICATION_VERSION,"The version of the application that is used, as assigned by the owner of the application"
,Versi dari perangkat lunak yang dipakai untuk melakukan pengolahan.
,Contoh: 44
ITEM_CATEGORY,"The category of information item, such as acquisition support products, trace products etc"
,"Kategori dari Project, misal: SEISMIK INTERPRETASI, LOG ANALYSIS, SEISMIK INVERSION, RESERVOIR ANALYSIS (DAN LAIN-LAIN)"
,Contoh: LOG ANALYSIS
PROCESS_DATE,The date on which the process was applied
,Tanggal mulai dilakukan proses pengolahan data.
,Contoh: 27/08/2012
INTERPRETER,"Unique identifier for a business associate, such as a person, company, regulatory agency, government or consortium"
,Nama orang atau badan yang melakukan interpretasi seperti yang tercatat di badan resmi pencatatan badan hukum
,Contoh: R. WIBOWO
DIGITAL_FORMAT,"The digital format, or predefined order or arrangement of digits. For trace data, may be SEG Y or SEG B, for survey data may be UKOOA or SEG P1 etc. For other files, may be XLS, DOC, PDF etc."
,Format Digital dari data yang diserahkan
,Contoh: GFA
MEDIA_TYPE,"Describes the type of media used for the physical rendering of an item. Allowable types include 8 mm tape, 9 inch tape, backup unet, cassette, diskette, epoch, film, linen, microfilm, mylar, negative, original, paper, photo print,print, reproducable, sepia, xerox, worm optical disk, unknown, mixed"
,"Type Media: CD-R, DVD-R, TAPE MAGNETIK LTO, EXTERNAL HARDISK."
,Contoh: TAPE MAGNETIK LTO
BA_LONG_NAME,The legal name of a business associate. (That which has been registered with a corporate registry).
,"Nama Badan Hukum yang menyimpan data, seperti yang tercatat di badan resmi pencatatan badan hukum."
,Contoh: PT PERUSAHAAN PERSEROAN (PERSERO) PT PERTAMINA
BA_TYPE,"The type of business associate. Usual reference values include COMPANY, PERSON, REGULATORY, SOCIETY, ASSOCIATION. Use the BA CATEGORY to further categorize this information."
,"Type dari entitas bisnis yang menyimpan data: BADAN USAHA, BENTUK USAHA TETAP, UNIVERSITAS, UNIT PELAKSANA."
,Contoh: BADAN USAHA
DATA_STORE_NAME,"The name given to the storage facility. May be a building name, Bay name or a directory or file name."
,Nama dari fasilitas penyimpanan data.
,Contoh: PERTAMINA UPSTREAM DATA CENTER 
DATA_STORE_TYPE,"The type of data store that is referenced, such as disk, folder, tape, shelf, SAN system server or optical disk."
,"Type penyimpanan data: RACK, SHELF, BOX, ENVELOPE."
,Contoh: BOX
LOCATION_ID,A location ID already assigned to the physical item. May be a barcode or a legacy system Identifier.
,Lokasi simpan dalam storage sesuai dalam format: kode lokasi-kode jenis data-kode rack-kode shelf-kode box-kode envelope-nomor urut.
,Contoh: PM-2-11F-31-07-00-200
REMARK,Narrative remarks relating to this row of data
,Keterangan informasi yang ingin ditambahkan terkait File Proyek.
,Contoh: HASIL INTERPRETASI WELL LOG DAERAH BUNYU
SOURCE,"The individual, company, state, or government agency designated as the source of information for this row."
,Nama Badan Hukum seperti yang tercatat di badan resmi pencatatan badan hukum yang menjadi sumber dari data.
,Contoh: PT PERUSAHAAN PERSEROAN (PERSERO) PT PERTAMINA
QC_STATUS,"A valid type of quality control or validation status, such as batch loaded, visual inspection, verified by data analyst, verified by business analyst etc"
,Status Validasi: TERVERIFIKASI OLEH SKK MIGAS atau TERVERIFIKASI OLEH DITJEN MIGAS.
,Contoh: TERVERIFIKASI OLEH SKK MIGAS
CHECKED_BY_BA_ID,"Unique identifier for the business associate who checked the work done by the data analyst to verify that the quality control has been done correctly. In some cases, this will be a business expert who is reviewing the final contents of a data structure."
,NIK dari orang yang melakukan verifikasi.
,Contoh:31XXXXXXXXXXXXXX
