ELEMEN INFORMASI YANG DISERAHKAN UNTUK WELL LOGS,
BA_LONG_NAME,The legal name of a business associate. (That which has been registered with a corporate registry).
,"Nama Badan Hukum Pemilik Log Cetak Sumur, seperti yang tercatat di badan resmi pencatatan badan hukum."
,Contoh: PT PERTAMINA EP
BA_TYPE,"The type of business associate. Usual reference values include COMPANY, PERSON, REGULATORY, SOCIETY, ASSOCIATION. Use the BA CATEGORY to further categorize this information."
,"Type dari entitas bisnis: BADAN USAHA, BENTUK USAHA TETAP, UNIVERSITAS, UNIT PELAKSANA."
,Contoh: BADAN USAHA
AREA_ID,"Identifier for any named area such as a country, province, project area, area of interest, offshore area, district etc."
,Nama wilayah kerja sesuai dengan kontrak kerjasama antara KKKS dengan SKK Migas. 
,Contoh: PERTAMINA EP
AREA_TYPE,"Unique identifier for the type of area, such as country, state, AOI etc."
,Identifikasi unik untuk wilayah kerja: WILAYAH KERJA.
,Contoh: WILAYAH KERJA
FIELD_NAME,Legal or common given name of the field
,Nama lapangan yang diberikan sesuai dokumen POD pertama yang disahkan oleh menteri ESDM yang diterbitkan oleh SKK Migas (diisi jika sudah ada POD).
,Contoh: BUNYU
WELL_NAME,Name assigned to the well. This may be the legal or registered name as it appears on permit or a given name assigned by the operator.
,Nama yang ditetapkan untuk Sumur. Nama Sumur  ini adalah nama yang terdaftar secara legal.
,Contoh: BN-17
UWI,"A unique name, code or number designated as the primary key for this row."
,Kode unik formal dari Sumur yang diberikan oleh SKK Migas.
,Contoh: -
LOGGING_COMPANY,"Unique identifier for a business associate, such as a person, company, regulatory agency, government or consortium who runs the logging activity."
,Nama Badan Hukum yang melakukan pencatatan logging seperti yang tercatat di badan resmi pencatatan badan hukum.
,Contoh: PT BINAKARINDO YACOAGUNG
SCALE_RATIO,"In log scales the second component of a log scale ratio where the first component is always 1. For example in the log ratio 1:600, the value in this column would be 600. This value is unitless. If this column is populated in addition to SCALE LENGTH and SCALE DEPTH INTERVAL."
,Skala dari kurva log ke 1 sampai ke N dalam satu lembar.
,Contoh:   1:200; 1:500
MEDIA_TYPE,"Describes the type of media used for the physical rendering of an item. Allowable types include 8 mm tape, 9 inch tape, backup unet, cassette, diskette, epoch, film, linen, microfilm, mylar, negative, original, paper, photo print, print, reproducable, sepia, xerox, worm optical disk, unknown, mixed."
,"Jenis dari media Log Sumur: KERTAS, TRANSLUCENT, FILM."
,Contoh: KERTAS
WELL_LOG_CLASS_ID,This table lists the classes of well log files that may be created.
,"Jenis-jenis dari Log Sumur: MUD LOG, PETROPHYSIC LOG, ELECTRICAL WELL LOG, PRESSURE LOG, COMPOSITE LOG, FINAL WELL LOG, MASTER LOG, FORMATION MICROIMAGER LOG, DIPMETER LOG, CEMENT BOND LOG, DENSITY LOG, SONIC LOG, SPONTANEOUS POTENTIAL LOG, COMPUTER PROCESSED INTERPRETATION LOG , CALIPER LOG, POROSITY LOG, GAMMA RAY LOG (DAN LAIN-LAIN) "
, Contoh: GAMMA RAY LOG
LOG_TITLE,"A textual name assigned to a log by a vendor or other company. This information is not validated. Validated classification information (such as INDUCTION, DENSITY etc) should be stored in WELL_LOG_CLASS."
,Judul yang terdapat di header Log Sumur.
,Contoh: GR-CCL-CBL
REPORT_LOG_RUN,Reported value indicating the run number of the log job trip. A sequence number usually assigned by the contractor indicating a particular set of log operations run in a wellbore on or about the same date.
,Penomoran yang mengidentifikasi setiap jenis layanan logging yang diberikan pada satu set log tertentu atau run number.
,Contoh: 1
TRIP_DATE,Date the logging tools entered the borehole for this trip.
,Tanggal alat logging memasuki lubang bor untuk satu set log tertentu atau run date.
,Contoh: 15/01/2007
TOP_DEPTH,The top depth of the log. Can often be calculated by determining the depth of the first index on the cuves associated with the log.
,Kedalaman atas Log Sumur.
,Contoh: 91
TOP_DEPTH_OUOM,Original unit of measure
,Unit pengukuran dalam Meter: m.
,Contoh: m
BASE_DEPTH,The base depth of the log. Can often be calculated by determining the depth of the last index on the cuves associated with the log
,Kedalaman dasar Log Sumur. 
,Contoh: 1284
BASE_DEPTH_OUOM,Original unit of measure
,Unit pengukuran dalam Meter: m.
,Contoh: m 
BA_LONG_NAME,The legal name of a business associate. (That which has been registered with a corporate registry).
,"Nama Badan Hukum yang menyimpan data, seperti yang tercatat di badan resmi pencatatan badan hukum."
,Contoh: PT PERUSAHAAN PERSEROAN (PERSERO) PT PERTAMINA
BA_TYPE,"The type of business associate. Usual reference values include COMPANY, PERSON, REGULATORY, SOCIETY, ASSOCIATION. Use the BA CATEGORY to further categorize this information."
,"Type dari entitas bisnis yang menyimpan data: BADAN USAHA, BENTUK USAHA TETAP, UNIVERSITAS, UNIT PELAKSANA."
,Contoh: BADAN USAHA
DATA_STORE_NAME,"The name given to the storage facility. May be a building name, Bay name or a directory or file name."
,Nama dari fasilitas penyimpanan data.
,Contoh: PERTAMINA UPSTREAM DATA CENTER 
DATA_STORE_TYPE,"The type of data store that is referenced, such as disk, folder, tape, shelf, SAN system server or optical disk."
,"Type penyimpanan data: RACK, SHELF, BOX, ENVELOPE."
,Contoh: BOX
LOCATION_ID,A location ID already assigned to the physical item. May be a barcode or a legacy system Identifier.
,Lokasi simpan dalam storage sesuai dalam format: kode lokasi-kode jenis data-kode rack-kode shelf-kode box-kode envelope-nomor urut.
,Contoh: PM-1-12B-09-18-00-008
REMARK,Narrative remarks relating to this row of data
,Keterangan informasi yang ingin ditambahkan terkait Log Sumur.
,"Contoh: JENIS KURVA: SPD, TENS, GR, CCL, CBL, VDL"
SOURCE,"The individual, company, state, or government agency designated as the source of information for this row."
,Nama Badan Hukum seperti yang tercatat di badan resmi pencatatan badan hukum yang menjadi sumber dari data.
,Contoh: PT PERTAMINA EP
QC_STATUS,"A valid type of quality control or validation status, such as batch loaded, visual inspection, verified by data analyst, verified by business analyst etc"
,Status Validasi: TERVERIFIKASI OLEH SKK MIGAS atau TERVERIFIKASI OLEH DITJEN MIGAS.
,Contoh: TERVERIFIKASI OLEH SKK MIGAS
CHECKED_BY_BA_ID,"Unique identifier for the business associate who checked the work done by the data analyst to verify that the quality control has been done correctly. In some cases, this will be a business expert who is reviewing the final contents of a data structure."
,NIK dari orang yang melakukan verifikasi.
,Contoh:31XXXXXXXXXXXXXX
